program_name,start_time,end_time
Early Morning News,05:00,06:00
Morning Workout,06:00,06:30
Morning Show,06:30,09:00
Talk Show Daily,09:00,10:00
Cooking with Chef,10:00,10:30
Morning Movie,10:30,12:30
Midday News,12:30,13:00
Lunch Hour Talk,13:00,14:00
Afternoon Drama,14:00,15:30
Kids Zone,15:30,16:30
Teen Time,16:30,17:30
Early Evening News,17:30,18:00
Game Show Hour,18:00,19:00
Prime Time Drama,19:00,21:00
Late Night Comedy,21:00,22:00
Night Talk Show,22:00,23:00
Midnight Movie,23:00,01:30
Late Night Music,01:30,02:30
Documentary Hour,02:30,03:30
Silent Movies,03:30,05:00
Weather Update Brief,12:00,12:05
Sports Highlights,18:30,18:45
Traffic Report,07:30,07:35
Breaking News Alert,20:15,20:20
Commercial Break Show,11:45,11:50
Tech Review,16:00,16:15
Health Tips,14:30,14:45
Quick Recipes,10:45,11:00
Market Update,15:45,16:00
Evening Weather,19:45,20:00
Overnight Jazz,02:00,05:00
Weekend Recap,23:30,00:15
International News,04:30,05:30
Morning Meditation,05:30,06:00
Fitness Quick,08:30,08:45
Business Brief,12:15,12:30
Science Today,15:15,15:30
Art Corner,17:15,17:30
Music Video Hour,20:30,21:30
Comedy Specials,22:30,23:30
